1 20 -> 23 fr=10 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-2.305e+01
0 4 -> 6 fr=32 (0.6400), cf=0.889, gamma=1.389, delta=0.179, M=-1.954e+01
3 4 61 -> 105 fr=8 (0.1600), cf=1.000, gamma=5.556, delta=0.131, M=-1.790e+01
0 22 46 -> 40 fr=15 (0.3000), cf=1.000, gamma=2.381, delta=0.174, M=-1.754e+01
7 20 -> 23 fr=8 (0.1600), cf=1.000, gamma=5.000, delta=0.128, M=-1.629e+01
3 61 -> 105 fr=8 (0.1600), cf=0.889, gamma=4.938, delta=0.128, M=-1.573e+01
4 5 61 -> 105 fr=8 (0.1600), cf=0.889, gamma=4.938, delta=0.128, M=-1.573e+01
6 -> 4 fr=32 (0.6400), cf=1.000, gamma=1.316, delta=0.154, M=-1.569e+01
50 74 -> 59 fr=9 (0.1800), cf=1.000, gamma=3.846, delta=0.133, M=-1.507e+01
45 50 59 -> 74 fr=8 (0.1600), cf=1.000, gamma=4.545, delta=0.125, M=-1.500e+01
3 45 59 -> 74 fr=8 (0.1600), cf=1.000, gamma=4.545, delta=0.125, M=-1.500e+01
5 13 45 46 -> 11 fr=14 (0.2800), cf=0.875, gamma=2.431, delta=0.165, M=-1.498e+01
9 22 -> 21 fr=7 (0.1400), cf=0.778, gamma=5.556, delta=0.115, M=-1.484e+01
9 46 -> 79 fr=7 (0.1400), cf=1.000, gamma=5.556, delta=0.115, M=-1.484e+01
9 14 22 -> 2 fr=6 (0.1200), cf=0.857, gamma=7.143, delta=0.103, M=-1.464e+01
6 19 22 -> 21 fr=6 (0.1200), cf=1.000, gamma=7.143, delta=0.103, M=-1.464e+01
22 46 -> 40 fr=16 (0.3200), cf=0.889, gamma=2.116, delta=0.169, M=-1.458e+01
0 13 45 46 -> 40 fr=13 (0.2600), cf=1.000, gamma=2.381, delta=0.151, M=-1.437e+01
90 -> 91 fr=8 (0.1600), cf=0.889, gamma=4.444, delta=0.124, M=-1.414e+01
9 20 -> 23 fr=8 (0.1600), cf=0.889, gamma=4.444, delta=0.124, M=-1.414e+01
4 61 -> 105 fr=8 (0.1600), cf=0.800, gamma=4.444, delta=0.124, M=-1.414e+01
5 61 -> 105 fr=8 (0.1600), cf=0.800, gamma=4.444, delta=0.124, M=-1.414e+01
50 59 -> 74 fr=9 (0.1800), cf=0.818, gamma=3.719, delta=0.132, M=-1.372e+01
0 13 46 -> 40 fr=14 (0.2800), cf=0.933, gamma=2.222, delta=0.154, M=-1.340e+01
13 45 46 -> 11 fr=14 (0.2800), cf=0.824, gamma=2.288, delta=0.158, M=-1.336e+01
5 22 46 -> 11 fr=14 (0.2800), cf=0.824, gamma=2.288, delta=0.158, M=-1.336e+01
6 9 22 -> 2 fr=6 (0.1200), cf=0.750, gamma=6.250, delta=0.101, M=-1.325e+01
4 9 22 -> 2 fr=6 (0.1200), cf=0.750, gamma=6.250, delta=0.101, M=-1.325e+01
1 16 -> 7 fr=15 (0.3000), cf=0.714, gamma=2.101, delta=0.157, M=-1.298e+01
13 14 46 -> 40 fr=12 (0.2400), cf=1.000, gamma=2.381, delta=0.139, M=-1.293e+01
105 -> 61 fr=8 (0.1600), cf=0.889, gamma=4.040, delta=0.120, M=-1.286e+01
45 59 -> 74 fr=8 (0.1600), cf=0.889, gamma=4.040, delta=0.120, M=-1.286e+01
4 22 91 -> 105 fr=7 (0.1400), cf=0.875, gamma=4.861, delta=0.111, M=-1.280e+01
1 9 38 -> 79 fr=7 (0.1400), cf=0.875, gamma=4.861, delta=0.111, M=-1.280e+01
1 6 46 -> 79 fr=7 (0.1400), cf=0.875, gamma=4.861, delta=0.111, M=-1.280e+01
17 21 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
21 23 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
1 21 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
14 21 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
